,Time,Hexagon,Buckets,Radius,Device,Percentage
347,Lunch,8843a02267fffff,2,0.01,Combined,0.0
348,Lunch,8843a02267fffff,2,0.1,Apple,0.0
349,Lunch,8843a02267fffff,2,0.1,Samsung,0.0
350,Lunch,8843a02267fffff,2,0.1,Combined,0.0
351,Lunch,8843a02267fffff,2,0.5,Apple,0.0
352,Lunch,8843a02267fffff,2,0.5,Samsung,0.0
353,Lunch,8843a02267fffff,2,0.5,Combined,0.0
354,Lunch,8843a02267fffff,2,1.0,Apple,0.0
355,Lunch,8843a02267fffff,2,1.0,Samsung,0.0
356,Lunch,8843a02267fffff,2,1.0,Combined,0.0
357,Lunch,8843a02267fffff,2,5.0,Apple,0.0
358,Lunch,8843a02267fffff,2,5.0,Samsung,0.0
359,Lunch,8843a02267fffff,2,5.0,Combined,0.0
360,Lunch,8843a0235bfffff,14,0.01,Apple,0.07142857142857142
361,Lunch,8843a0235bfffff,14,0.01,Samsung,0.35714285714285715
362,Lunch,8843a0235bfffff,14,0.01,Combined,0.42857142857142855
363,Lunch,8843a0235bfffff,14,0.1,Apple,0.42857142857142855
364,Lunch,8843a0235bfffff,14,0.1,Samsung,0.5
365,Lunch,8843a0235bfffff,14,0.1,Combined,0.5714285714285714
366,Lunch,8843a0235bfffff,14,0.5,Apple,0.42857142857142855
367,Lunch,8843a0235bfffff,14,0.5,Samsung,0.5
368,Lunch,8843a0235bfffff,14,0.5,Combined,0.5714285714285714
369,Lunch,8843a0235bfffff,14,1.0,Apple,0.42857142857142855
370,Lunch,8843a0235bfffff,14,1.0,Samsung,0.5
371,Lunch,8843a0235bfffff,14,1.0,Combined,0.5714285714285714
372,Lunch,8843a0235bfffff,14,5.0,Apple,0.42857142857142855
373,Lunch,8843a0235bfffff,14,5.0,Samsung,0.5
374,Lunch,8843a0235bfffff,14,5.0,Combined,0.5714285714285714
375,Lunch,8843a0222bfffff,1,0.01,Apple,0.0
376,Lunch,8843a0222bfffff,1,0.01,Samsung,0.0
377,Lunch,8843a0222bfffff,1,0.01,Combined,0.0
378,Lunch,8843a0222bfffff,1,0.1,Apple,0.0
379,Lunch,8843a0222bfffff,1,0.1,Samsung,0.0
380,Lunch,8843a0222bfffff,1,0.1,Combined,0.0
381,Lunch,8843a0222bfffff,1,0.5,Apple,0.0
382,Lunch,8843a0222bfffff,1,0.5,Samsung,0.0
383,Lunch,8843a0222bfffff,1,0.5,Combined,0.0
384,Lunch,8843a0222bfffff,1,1.0,Apple,0.0
385,Lunch,8843a0222bfffff,1,1.0,Samsung,0.0
386,Lunch,8843a0222bfffff,1,1.0,Combined,0.0
